LINESTRING (1.685000 42.508008, 1.684858 42.507996) 
LINESTRING (1.684858 42.507996, 1.684712 42.507966) 
LINESTRING (1.684712 42.507966, 1.684592 42.507953) 
LINESTRING (1.684592 42.507953, 1.684477 42.507917) 
LINESTRING (1.684477 42.507917, 1.684327 42.507890) 
LINESTRING (1.684327 42.507890, 1.684070 42.507860) 
LINESTRING (1.684070 42.507860, 1.683856 42.507839) 
LINESTRING (1.683856 42.507839, 1.683640 42.507798) 
LINESTRING (1.683640 42.507798, 1.683563 42.507794) 
LINESTRING (1.683563 42.507794, 1.683479 42.507784) 
LINESTRING (1.683479 42.507784, 1.683305 42.507759) 
LINESTRING (1.683305 42.507759, 1.683170 42.507698) 
LINESTRING (1.683170 42.507698, 1.683096 42.507666) 
LINESTRING (1.683096 42.507666, 1.683047 42.507634) 
LINESTRING (1.683047 42.507634, 1.682965 42.507585) 
LINESTRING (1.682965 42.507585, 1.682920 42.507551) 
LINESTRING (1.682920 42.507551, 1.682874 42.507512) 
